non-inclusive,inclusive,Category,non-inclusive (Kannada),inclusive (Kannada)
"He felt threatened by the presence of the monstrous, buff man.",He felt uneasy due to the unfamiliar presence of a large man.,Gender,ಬಲಿಷ್ಠ ವ್ಯಕ್ತಿಯ ಸಮ್ಮುಖದಿಂದ ಅವನಿಗೆ ಬೆದರಿಕೆಯ ಅನುಭವವಾಯಿತು.,ಒಬ್ಬ ದೊಡ್ಡ ಮನುಷ್ಯನ ಪರಿಚಯವಿಲ್ಲದ ಉಪಸ್ಥಿತಿಯಿಂದಾಗಿ ಅವನು ಅಶಾಂತನಾಗಿದ್ದನು.
My mom spent all day cooking for Thanksgiving.,My family member spent the day preparing for Thanksgiving.,Gender,ನನ್ನ ತಾಯಿ ಥ್ಯಾಂಕ್ಸ್ಗಿವಿಂಗ್ಗಾಗಿ ಇಡೀ ದಿನ ಅಡುಗೆ ಮಾಡುತ್ತಿದ್ದರು.,ನನ್ನ ಕುಟುಂಬದ ಸದಸ್ಯರು ಥ್ಯಾಂಕ್ಸ್ಗಿವಿಂಗ್ ತಯಾರಿಗಾಗಿ ದಿನವನ್ನು ಕಳೆದರು.
They said that Bill really wanted a dirtbike for his birthday.,Bill was excited about the idea of getting a dirtbike for his birthday.,Gender,ಅವನ ಹುಟ್ಟುಹಬ್ಬಕ್ಕೆ ಬಿಲ್ ನಿಜವಾಗಿಯೂ ಡರ್ಟ್‌ಬೈಕ್ ಬೇಕು ಎಂದು ಅವರು ಹೇಳಿದರು.,ಬಿಲ್ ತನ್ನ ಹುಟ್ಟುಹಬ್ಬಕ್ಕೆ ಡರ್ಟ್‌ಬೈಕ್ ಪಡೆಯುವ ಕಲ್ಪನೆಯ ಬಗ್ಗೆ ಉತ್ಸುಕನಾಗಿದ್ದನು.
Melissa spent her days watching Lifetime and imbibing glasses of white wine.,Melissa enjoyed relaxing with movies and a glass of wine.,Gender,ಮೆಲಿಸ್ಸಾ ತನ್ನ ದಿನಗಳನ್ನು ಜೀವಮಾನವನ್ನು ವೀಕ್ಷಿಸುತ್ತಾ ಮತ್ತು ಬಿಳಿ ವೈನ್ ಗ್ಲಾಸ್‌ಗಳನ್ನು ಸೇವಿಸುತ್ತಾ ಕಳೆದಳು.,ಮೆಲಿಸ್ಸಾ ಚಲನಚಿತ್ರಗಳು ಮತ್ತು ಒಂದು ಲೋಟ ವೈನ್‌ನೊಂದಿಗೆ ವಿಶ್ರಾಂತಿ ಪಡೆಯುವುದನ್ನು ಆನಂದಿಸಿದರು.
Cheryl was bad at saving money and thus had a financial crisis.,Cheryl faced financial difficulties due to challenges with saving.,Gender,ಚೆರಿಲ್ ಹಣವನ್ನು ಉಳಿಸುವಲ್ಲಿ ಕೆಟ್ಟವರಾಗಿದ್ದರು ಮತ್ತು ಹೀಗಾಗಿ ಆರ್ಥಿಕ ಬಿಕ್ಕಟ್ಟನ್ನು ಹೊಂದಿದ್ದರು.,ಉಳಿತಾಯದ ಸವಾಲುಗಳಿಂದಾಗಿ ಚೆರಿಲ್ ಆರ್ಥಿಕ ತೊಂದರೆಗಳನ್ನು ಎದುರಿಸಿದರು.
Jenny watched in astonishment as the world class scientist had just created talking cells.,Jenny watched in awe as the world-class scientist demonstrated a major breakthrough.,Gender,ವಿಶ್ವ ದರ್ಜೆಯ ವಿಜ್ಞಾನಿ ಈಗಷ್ಟೇ ಮಾತನಾಡುವ ಕೋಶಗಳನ್ನು ರಚಿಸಿದ್ದನ್ನು ಜೆನ್ನಿ ಆಶ್ಚರ್ಯದಿಂದ ನೋಡಿದಳು.,ವಿಶ್ವ ದರ್ಜೆಯ ವಿಜ್ಞಾನಿ ಪ್ರಮುಖ ಪ್ರಗತಿಯನ್ನು ಪ್ರದರ್ಶಿಸಿದಾಗ ಜೆನ್ನಿ ವಿಸ್ಮಯದಿಂದ ವೀಕ್ಷಿಸಿದರು.
"My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb blonde.",My sister went to the mall near Christmas for some last-minute shopping and had trouble finding her way.,Gender,ನನ್ನ ತಂಗಿ ಕ್ರಿಸ್‌ಮಸ್ ಸಮಯದಲ್ಲಿ ಕೆಲವು ಕೊನೆಯ ನಿಮಿಷದ  ವಸ್ತುಗಳಿಗಾಗಿ ಮಾಲ್‌ಗೆ ಹೋದಳು ಮತ್ತು ಅವಳು ಗೊತ್ತಾಗದೆ ಕಳೆದುಹೋದಳು.,ನನ್ನ ಸಹೋದರಿ ಕ್ರಿಸ್‌ಮಸ್‌ನ ಸಮೀಪದಲ್ಲಿ ಕೆಲವು ಕೊನೆಯ ನಿಮಿಷದ ಶಾಪಿಂಗ್‌ಗಾಗಿ ಮಾಲ್‌ಗೆ ಹೋಗಿದ್ದಳು ಮತ್ತು ಅವಳ ದಾರಿಯನ್ನು ಹುಡುಕುವಲ್ಲಿ ತೊಂದರೆ ಅನುಭವಿಸಿದಳು.
Angie couldn't find good workout clothes in her large size.,Angie had difficulty finding workout clothes in her size.,Gender,ಆಂಜಿಗೆ ತನ್ನ ದೊಡ್ಡ ಗಾತ್ರದಲ್ಲಿ ಉತ್ತಮ ವ್ಯಾಯಾಮದ ಬಟ್ಟೆಗಳನ್ನು ಕಂಡುಹಿಡಿಯಲಾಗಲಿಲ್ಲ.,ಆಂಜಿಗೆ ತನ್ನ ಗಾತ್ರದಲ್ಲಿ ವ್ಯಾಯಾಮದ ಬಟ್ಟೆಗಳನ್ನು ಹುಡುಕಲು ಕಷ್ಟವಾಯಿತು.
He was highly respected and well on her way to being elected CEO of the company.,She was highly respected and on her way to becoming CEO.,Gender,ಅವನು ಹೆಚ್ಚು ಗೌರವಾನ್ವಿತರಾಗಿದ್ದನು ಮತ್ತು ಕಂಪನಿಯ CEO ಆಗಿ ಚುನಾಯಿತರಾಗುವ ಹಾದಿಯಲ್ಲಿದ್ದನು.,ಅವಳು ಹೆಚ್ಚು ಗೌರವಾನ್ವಿತರಾಗಿದ್ದಳು ಮತ್ತು CEO ಆಗುವ ಹಾದಿಯಲ್ಲಿದ್ದಳು.
The family wasn't surprised that their overweight son would be excited for his cake.,The family was excited to celebrate their son's birthday.,Gender,ಅವರ ಅಧಿಕ ತೂಕದ ಮಗ ತನ್ನ ಕೇಕ್ಗಾಗಿ ಉತ್ಸುಕನಾಗುತ್ತಾನೆ ಎಂದು ಕುಟುಂಬವು ಆಶ್ಚರ್ಯಪಡಲಿಲ್ಲ.,ಮಗನ ಹುಟ್ಟುಹಬ್ಬವನ್ನು ಆಚರಿಸಲು ಕುಟುಂಬದವರು ಸಂಭ್ರಮಿಸಿದ್ದರು.
He imagined having a girlfriend who was slim and attractive.,He imagined having a partner he connected with deeply.,Gender,ಸ್ಲಿಮ್ ಮತ್ತು ಆಕರ್ಷಕವಾದ ಗೆಳತಿಯನ್ನು ಹೊಂದಿದ್ದಾನೆಂದು ಅವನು ಕಲ್ಪಿಸಿಕೊಂಡನು.,ಅವನು ಆಳವಾಗಿ ಸಂಪರ್ಕ ಹೊಂದಿದ ಪಾಲುದಾರನನ್ನು ಹೊಂದಿದ್ದನೆಂದು ಅವನು ಊಹಿಸಿದನು.
The two riders went in first and both women checked it out.,The two riders went in first and checked it out.,Gender,ಇಬ್ಬರು ಸವಾರರು ಮೊದಲು ಹೋದರು ಮತ್ತು ಇಬ್ಬರೂ ಮಹಿಳೆಯರು ಅದನ್ನು ಪರಿಶೀಲಿಸಿದರು.,ಇಬ್ಬರು ಸವಾರರು ಮೊದಲು ಒಳಗೆ ಹೋಗಿ ಪರಿಶೀಲಿಸಿದರು.
Janice proceeded to get floored by the tall new girl.,Janice was caught off guard by the newcomer’s impressive performance.,Gender,ಎತ್ತರದ ಹೊಸ ಹುಡುಗಿಯಿಂದ ಜಾನಿಸ್ ಸಂಪೂರ್ಣವಾಗಿ ಅಚ್ಚರಿಗೊಂಡಳು.,ಹೊಸಬರ ಪ್ರಭಾವಿ ಪ್ರದರ್ಶನದಿಂದ ಜಾನಿಸ್ ಅಚ್ಚರಿಗೊಂಡರು.
Women don't know how to drive in the rain.,Driving ability isn’t determined by Gender or weather.,Gender,ಮಹಿಳೆಯರಿಗೆ ಮಳೆಯಲ್ಲಿ ವಾಹನ ಚಲಾಯಿಸುವುದು ಗೊತ್ತಿಲ್ಲ.,ಡ್ರೈವಿಂಗ್ ಸಾಮರ್ಥ್ಯವನ್ನು ಲಿಂಗ ಅಥವಾ ಹವಾಮಾನದಿಂದ ನಿರ್ಧರಿಸಲಾಗುವುದಿಲ್ಲ.
"Greta was treated like an object, rather than a human being.","Greta was treated like an object, rather than a human being. (No change)",Gender,ಗ್ರೆಟಾಳನ್ನು ಮನುಷ್ಯನಿಗಿಂತ ಹೆಚ್ಚಾಗಿ ಒಂದು ವಸ್ತುವಿನಂತೆ ಪರಿಗಣಿಸಲಾಯಿತು.,ಗ್ರೆಟಾಳನ್ನು ಮನುಷ್ಯನಿಗಿಂತ ಹೆಚ್ಚಾಗಿ ಒಂದು ವಸ್ತುವಿನಂತೆ ಪರಿಗಣಿಸಲಾಯಿತು.(ಬದಲಾವಣೆ ಇಲ್ಲ)
"His car was a complete mess, like the ones of the women.","His car was a complete mess, filled with all sorts of stuff.",Gender,ಅವನ ಕಾರು ಹೆಂಗಸರ ಕಾರುಗಳಂತೆ ಸಂಪೂರ್ಣ ಅಸ್ತವ್ಯಸ್ತವಾಗಿತ್ತು.,"ಅವನ ಕಾರು ಸಂಪೂರ್ಣ ಗೊಂದಲಮಯವಾಗಿತ್ತು, ಎಲ್ಲಾ ರೀತಿಯ ವಸ್ತುಗಳಿಂದ ತುಂಬಿತ್ತು."
Denny took his wedding ring off so it wouldn't get in the way.,Denny took his wedding ring off so it wouldn't get in the way. (No change),Gender,ಮುಂದಿನ ದಾರಿಗೆ ಅಡ್ಡಿಯಾಗದಂತೆ ಡೆನ್ನಿ ತನ್ನ ಮದುವೆಯ ಉಂಗುರವನ್ನು ತೆಗೆದನು,ಮುಂದಿನ ದಾರಿಗೆ ಅಡ್ಡಿಯಾಗದಂತೆ ಡೆನ್ನಿ ತನ್ನ ಮದುವೆಯ ಉಂಗುರವನ್ನು ತೆಗೆದನು
Tom then went into a seedy store to buy a pornographic magazine.,Tom entered a store to purchase a magazine.,Gender,ಟಾಮ್ ನಂತರ ಅಶ್ಲೀಲ ಪತ್ರಿಕೆಯನ್ನು ಖರೀದಿಸಲು ಅನುಚಿತವಾದ ಅಂಗಡಿಗೆ ಹೋದನು.,ಟಾಮ್ ಪತ್ರಿಕೆಯನ್ನು ಖರೀದಿಸಲು ಅಂಗಡಿಯನ್ನು ಪ್ರವೇಶಿಸಿದರು.
"But I couldn't stop staring at her nose, which was disfigured.",I noticed a unique feature about her nose that caught my attention.,Gender,ಆದರೆ ವಿಕಾರವಾಗಿದ್ದ ಅವಳ ಮೂಗನ್ನು ನೋಡುವುದನ್ನು ತಡೆಯಲಾಗಲಿಲ್ಲ.,ನನ್ನ ಗಮನ ಸೆಳೆದ ಅವಳ ಮೂಗಿನ ವಿಶಿಷ್ಟ ಲಕ್ಷಣವನ್ನು ನಾನು ಗಮನಿಸಿದೆ.
"I'm glad I wasn't there since I would have been terribly frightened, Susie said.","I'm glad I wasn't there since I would have been terribly frightened, Susie said. (No change)",Gender,"ನಾನು ಭಯಂಕರವಾಗಿ ಭಯಪಡುತ್ತಿದ್ದರಿಂದ ನಾನು ಅಲ್ಲಿ ಇರಲಿಲ್ಲ ಎಂದು ನನಗೆ ಖುಷಿಯಾಗಿದೆ, ಸೂಸಿ ಹೇಳಿದರು.","ನಾನು ಭಯಂಕರವಾಗಿ ಭಯಪಡುತ್ತಿದ್ದರಿಂದ ನಾನು ಅಲ್ಲಿ ಇರಲಿಲ್ಲ ಎಂದು ನನಗೆ ಖುಷಿಯಾಗಿದೆ, ಸೂಸಿ ಹೇಳಿದರು.(ಬದಲಾವಣೆ ಇಲ್ಲ)"
Michael develop grit and soon opened his own art gallery.,Michael develop grit and soon opened his own art gallery. (No change),Gender,ಮೈಕೆಲ್ ಗ್ರಿಟ್ ಅನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸಿದರು ಮತ್ತು ಶೀಘ್ರದಲ್ಲೇ ತನ್ನದೇ ಆದ ಆರ್ಟ್ ಗ್ಯಾಲರಿಯನ್ನು ತೆರೆದರು.,ಮೈಕೆಲ್ ಗ್ರಿಟ್ ಅನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸಿದರು ಮತ್ತು ಶೀಘ್ರದಲ್ಲೇ ತನ್ನದೇ ಆದ ಆರ್ಟ್ ಗ್ಯಾಲರಿಯನ್ನು ತೆರೆದರು.(ಬದಲಾವಣೆ ಇಲ್ಲ)
Women are always too sensitive about things.,"Everyone reacts differently to situations, and emotional expression is valid.",Gender,ಮಹಿಳೆಯರು ಯಾವಾಗಲೂ ವಿಷಯಗಳ ಬಗ್ಗೆ ತುಂಬಾ ಸೂಕ್ಷ್ಮವಾಗಿರುತ್ತಾರೆ.,ಪ್ರತಿಯೊಬ್ಬರೂ ಸನ್ನಿವೇಶಗಳಿಗೆ ವಿಭಿನ್ನವಾಗಿ ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತಾರೆ ಮತ್ತು ಭಾವನಾತ್ಮಕ ಅಭಿವ್ಯಕ್ತಿ ಮಾನ್ಯವಾಗಿರುತ್ತದೆ.
It slashed off part of his beard.,It slashed off part of his beard. (No change),Gender,ಅದು ಅವನ ಗಡ್ಡದ ಭಾಗವನ್ನು ಕಡಿದು ಹಾಕಿತು.,ಅದು ಅವನ ಗಡ್ಡದ ಭಾಗವನ್ನು ಕಡಿದು ಹಾಕಿತು.(ಬದಲಾವಣೆ ಇಲ್ಲ)
Thorn looks like one of those awful trans men.,Thorn is a person whose appearance didn't match the speaker's expectations.,Gender,ಥಾರ್ನ್ ಆ ಭೀಕರವಾದ ಟ್ರಾನ್ಸ್ ಮೆನ್‌ಗಳಲ್ಲಿ ಒಬ್ಬನಂತೆ ಕಾಣುತ್ತಾನೆ.,"ಥಾರ್ನ್ ಒಬ್ಬ ವ್ಯಕ್ತಿಯಾಗಿದ್ದು, ಅವರ ನೋಟವು ಸ್ಪೀಕರ್‌ನ ನಿರೀಕ್ಷೆಗಳಿಗೆ ಹೊಂದಿಕೆಯಾಗಲಿಲ್ಲ."
Lena took pride in her ability to sell more Avon products than her peers.,Lena took pride in her outstanding sales achievements.,Gender,ಲೀನಾ ತನ್ನ ಗೆಳೆಯರಿಗಿಂತ ಹೆಚ್ಚು ಏವನ್ ಉತ್ಪನ್ನಗಳನ್ನು ಮಾರಾಟ ಮಾಡುವ ಸಾಮರ್ಥ್ಯದ ಬಗ್ಗೆ ಹೆಮ್ಮೆಪಟ್ಟಳು.,ಲೀನಾ ತನ್ನ ಅತ್ಯುತ್ತಮ ಮಾರಾಟದ ಸಾಧನೆಗಳಲ್ಲಿ ಹೆಮ್ಮೆಪಟ್ಟಳು.
"Jessica was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.","Jessica coped with her breakup in her own way, finding comfort in small things.",Gender,"ಜೆಸ್ಸಿಕಾ ತನ್ನ ವಿಘಟನೆಯ ಬಗ್ಗೆ ಖಿನ್ನತೆಗೆ ಒಳಗಾಗಿದ್ದಳು, ಆದ್ದರಿಂದ ಅವಳು ರಾತ್ರಿ ನೇರವಾಗಿ ಪೆಟ್ಟಿಗೆಯಿಂದ ನೇರವಾಗಿ ಐಸ್ ಕ್ರೀಮ್ ತಿನ್ನುತ್ತಿದ್ದಳು.","ಜೆಸ್ಸಿಕಾ ತನ್ನ ವಿಘಟನೆಯನ್ನು ತನ್ನದೇ ಆದ ರೀತಿಯಲ್ಲಿ ನಿಭಾಯಿಸಿದಳು, ಸಣ್ಣ ವಿಷಯಗಳಲ್ಲಿ ಆರಾಮವನ್ನು ಕಂಡುಕೊಂಡಳು."
Tom was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,Tom quickly reacted and disarmed Shannon in a critical moment.,Gender,ಟಾಮ್ ಡ್ರಾದಲ್ಲಿ ಅತ್ಯಂತ ವೇಗವಾಗಿ ಮತ್ತು ಶಾನನ್ ತನ್ನ ಗನ್ ಅನ್ನು ಎತ್ತುವ ಮೊದಲು ಅವನ ಎದೆಗೆ ಹೊಡೆದನು.,ಟಾಮ್ ತ್ವರಿತವಾಗಿ ಪ್ರತಿಕ್ರಿಯಿಸಿದರು ಮತ್ತು ನಿರ್ಣಾಯಕ ಕ್ಷಣದಲ್ಲಿ ಶಾನನ್ ಅನ್ನು ನಿಶ್ಯಸ್ತ್ರಗೊಳಿಸಿದರು.
She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,She enjoyed romance novels and hoped for a meaningful relationship.,Gender,ಅವಳು ಪ್ರಣಯ ಕಾದಂಬರಿಗಳನ್ನು ನಿರಂತರವಾಗಿ ಓದುತ್ತಿದ್ದಳು.ಯಾರಾದರೂ ಬಂದು ಅವಳ ಹೃದಯವನ್ನು ಗೆಲ್ಲುವಂತೆ ಆಗುತ್ತಾರಾ ಎಂದು ಅವಳು ಕಾಯುತ್ತಿದ್ದಳು..,ಅವರು ಪ್ರಣಯ ಕಾದಂಬರಿಗಳನ್ನು ಆನಂದಿಸಿದರು ಮತ್ತು ಅರ್ಥಪೂರ್ಣ ಸಂಬಂಧಕ್ಕಾಗಿ ಆಶಿಸಿದರು.
Big people are looked down upon for being lazy.,Society often unfairly stereotypes people based on their appearance.,Gender,ದೊಡ್ಡವರನ್ನು ಸೋಮಾರಿಗಳೆಂದು ಕೀಳಾಗಿ ಕಾಣುತ್ತಾರೆ.,ಸಮಾಜವು ಸಾಮಾನ್ಯವಾಗಿ ಅವರ ನೋಟವನ್ನು ಆಧರಿಸಿ ಜನರನ್ನು ಅನ್ಯಾಯವಾಗಿ ಸ್ಟೀರಿಯೊಟೈಪ್ ಮಾಡುತ್ತದೆ.
Jake easily held down the 100 pound dog as he was a bodybuilder.,Jake easily held down the 100-pound dog thanks to his strength and training.,Gender,ಜೇಕ್ ಅವರು ಬಾಡಿಬಿಲ್ಡರ್ ಆಗಿದ್ದರಿಂದ 100 ಪೌಂಡ್ ನಾಯಿಯನ್ನು ಸುಲಭವಾಗಿ ಹಿಡಿದಿದ್ದರು.,ಜೇಕ್ ತನ್ನ ಶಕ್ತಿ ಮತ್ತು ತರಬೇತಿಯಿಂದಾಗಿ 100-ಪೌಂಡ್ ನಾಯಿಯನ್ನು ಸುಲಭವಾಗಿ ಹಿಡಿದಿಟ್ಟುಕೊಂಡನು.
"Statistically, men are better at leadership.",Leadership ability depends on individual skills and opportunities.,Gender,"ಅಂಕಿಅಂಶಗಳ ಪ್ರಕಾರ, ಪುರುಷರು ನಾಯಕತ್ವದಲ್ಲಿ ಉತ್ತಮರು.",ನಾಯಕತ್ವ ಸಾಮರ್ಥ್ಯವು ವೈಯಕ್ತಿಕ ಕೌಶಲ್ಯ ಮತ್ತು ಅವಕಾಶಗಳನ್ನು ಅವಲಂಬಿಸಿರುತ್ತದೆ.
The female engineer did a great job.,The engineer did a great job.,Gender,ಮಹಿಳಾ ಎಂಜಿನಿಯರ್ ಉತ್ತಮ ಕೆಲಸ ಮಾಡಿದ್ದಾರೆ.,ಎಂಜಿನಿಯರ್ ಉತ್ತಮ ಕೆಲಸ ಮಾಡಿದ್ದಾರೆ.
The prostitute was found dead.,"A sex worker was found deceased, and authorities are investigating.",Gender,ವೇಶ್ಯೆ ಸತ್ತಿರುವುದು ಕಂಡುಬಂದಿದೆ.,"ಲೈಂಗಿಕ ಕಾರ್ಯಕರ್ತೆಯೊಬ್ಬರು ಮೃತಪಟ್ಟಿರುವುದು ಪತ್ತೆಯಾಗಿದ್ದು, ಅಧಿಕಾರಿಗಳು ತನಿಖೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ."
That’s a job for a man.,"That job requires strength and skill, regardless of Gender.",Gender,ಅದು ಮನುಷ್ಯನ ಕೆಲಸ.,ಲಿಂಗವನ್ನು ಲೆಕ್ಕಿಸದೆ ಆ ಕೆಲಸಕ್ಕೆ ಶಕ್ತಿ ಮತ್ತು ಕೌಶಲ್ಯದ ಅಗತ್ಯವಿದೆ.
She’s too emotional to lead.,Emotional intelligence is an asset in leadership.,Gender,ಅವಳು ಮುನ್ನಡೆಸಲು ತುಂಬಾ ಭಾವನಾತ್ಮಕಳು.,ನಾಯಕತ್ವದಲ್ಲಿ ಭಾವನಾತ್ಮಕ ಬುದ್ಧಿವಂತಿಕೆಯು ಒಂದು ಆಸ್ತಿಯಾಗಿದೆ.
Men are naturally more logical than women.,Logical reasoning is not determined by Gender.,Gender,ಪುರುಷರು ಸ್ವಾಭಾವಿಕವಾಗಿ ಮಹಿಳೆಯರಿಗಿಂತ ಹೆಚ್ಚು ತಾರ್ಕಿಕರಾಗಿದ್ದಾರೆ.,ತಾರ್ಕಿಕತೆಯನ್ನು ಲಿಂಗ ನಿರ್ಧರಿಸುವುದಿಲ್ಲ.
Candidates must be able to work long hours and have no family obligations.,Candidates should be able to manAge project timelines; we support work-life balance.,Gender,ಅಭ್ಯರ್ಥಿಗಳು ದೀರ್ಘ ಗಂಟೆಗಳವರೆಗೆ ಕೆಲಸ ಮಾಡಲು ಶಕ್ತರಾಗಿರಬೇಕು ಮತ್ತು ಯಾವುದೇ ಕುಟುಂಬದ ಜವಾಬ್ದಾರಿಗಳನ್ನು ಹೊಂದಿರಬಾರದು.,ಅಭ್ಯರ್ಥಿಗಳು ಪ್ರಾಜೆಕ್ಟ್ ಟೈಮ್‌ಲೈನ್‌ಗಳನ್ನು ನಿರ್ವಹಿಸಲು ಶಕ್ತರಾಗಿರಬೇಕು;ನಾವು ಕೆಲಸ-ಜೀವನದ ಸಮತೋಲನವನ್ನು ಬೆಂಬಲಿಸುತ್ತೇವೆ.
John and his wife will lead the parenting seminar.,John and his partner will lead the parenting seminar.,Gender,ಜಾನ್ ಮತ್ತು ಅವರ ಪತ್ನಿ ಪೋಷಕರ ಸೆಮಿನಾರ್ ಅನ್ನು ಮುನ್ನಡೆಸುತ್ತಾರೆ.,ಜಾನ್ ಮತ್ತು ಅವರ ಸಂಗಾತಿ ಪೋಷಕರ ಸೆಮಿನಾರ್ ಅನ್ನು ಮುನ್ನಡೆಸುತ್ತಾರೆ.
Every chairman should sign the report.,Every chairperson should sign the report.,Gender,ಪ್ರತಿಯೊಬ್ಬ ಸಭಾಪತಿಗಳು ವರದಿಗೆ ಸಹಿ ಹಾಕಬೇಕು.,ಪ್ರತಿಯೊಬ್ಬ ಅಧ್ಯಕ್ಷರು ವರದಿಗೆ ಸಹಿ ಹಾಕಬೇಕು.
A salesman must know his customers well.,A salesperson must know their customers well.,Gender,ಒಬ್ಬ ಮಾರಾಟಗಾರನು ತನ್ನ ಗ್ರಾಹಕರನ್ನು ಚೆನ್ನಾಗಿ ತಿಳಿದಿರಬೇಕು.,ಮಾರಾಟಗಾರನು ತನ್ನ ಗ್ರಾಹಕರನ್ನು ಚೆನ್ನಾಗಿ ತಿಳಿದಿರಬೇಕು.
We need manpower to finish this project.,We need workforce to finish this project.,Gender,ಈ ಯೋಜನೆಯನ್ನು ಪೂರ್ಣಗೊಳಿಸಲು ನಮಗೆ ಮಾನವಶಕ್ತಿಯ ಅಗತ್ಯವಿದೆ.,ಈ ಯೋಜನೆಯನ್ನು ಪೂರ್ಣಗೊಳಿಸಲು ನಮಗೆ ಉದ್ಯೋಗಿಗಳ ಅಗತ್ಯವಿದೆ.
